precision,accuracy,noise accuracy,batch_size,learning_rate
5,-1.0,-1,64,0.05
5,-1.0,-1,64,0.025
5,-1.0,-1,64,0.0125
5,-1.0,-1,64,0.00625
5,-1.0,-1,64,0.003125
5,-1.0,-1,64,0.0015625
5,-1.0,-1,128,0.1
5,-1.0,-1,128,0.05
5,-1.0,-1,128,0.025
5,-1.0,-1,128,0.0125
5,-1.0,-1,128,0.00625
5,-1.0,-1,128,0.003125
5,-1.0,-1,128,0.0015625
5,-1.0,-1,256,0.1
5,-1.0,-1,256,0.05
5,-1.0,-1,256,0.025
5,-1.0,-1,256,0.0125
5,-1.0,-1,256,0.00625
5,-1.0,-1,256,0.003125
5,-1.0,-1,256,0.0015625
5,-1.0,-1,512,0.1
5,-1.0,-1,512,0.05
5,-1.0,-1,512,0.025
5,-1.0,-1,512,0.0125
5,-1.0,-1,512,0.00625
5,-1.0,-1,512,0.003125
5,0.7904576063156128,-1,512,0.0015625
5,-1.0,-1,1024,0.1
5,-1.0,-1,1024,0.05
5,-1.0,-1,1024,0.025
5,-1.0,-1,1024,0.0125
5,-1.0,-1,1024,0.00625
5,-1.0,-1,1024,0.003125
5,0.703125,-1,1024,0.0015625
6,-1.0,-1,16,0.1
6,-1.0,-1,16,0.05
6,-1.0,-1,16,0.025
6,-1.0,-1,16,0.0125
6,-1.0,-1,16,0.00625
6,-1.0,-1,16,0.003125
6,-1.0,-1,16,0.0015625
6,-1.0,-1,32,0.1
6,-1.0,-1,32,0.05
6,-1.0,-1,32,0.025
6,-1.0,-1,32,0.0125
6,-1.0,-1,32,0.00625
6,-1.0,-1,32,0.003125
6,-1.0,-1,32,0.0015625
6,-1.0,-1,64,0.1
6,-1.0,-1,64,0.05
6,-1.0,-1,64,0.025
6,-1.0,-1,64,0.0125
6,-1.0,-1,64,0.00625
6,-1.0,-1,64,0.003125
6,-1.0,-1,64,0.0015625
6,-1.0,-1,128,0.1
6,-1.0,-1,128,0.05
6,-1.0,-1,128,0.025
6,-1.0,-1,128,0.0125
6,-1.0,-1,128,0.00625
6,-1.0,-1,128,0.003125
6,-1.0,-1,128,0.0015625
6,-1.0,-1,256,0.1
6,-1.0,-1,256,0.05
6,-1.0,-1,256,0.025
6,-1.0,-1,256,0.0125
6,-1.0,-1,256,0.00625
6,-1.0,-1,256,0.003125
6,-1.0,-1,256,0.0015625
6,-1.0,-1,512,0.1
6,-1.0,-1,512,0.05
6,-1.0,-1,512,0.025
6,-1.0,-1,512,0.0125
6,-1.0,-1,512,0.00625
6,-1.0,-1,512,0.003125
6,0.7907366156578064,-1,512,0.0015625
6,-1.0,-1,1024,0.1
6,-1.0,-1,1024,0.05
