precision,accuracy,noise accuracy,batch_size,learning_rate,avg_cka,avg_EF,net_efficiency,trace,eigenvalue
3,0.7354600429534912,0.575,512,0.0015625,0.8347158597575294,"{'EF_trace_w': array([37.1246    ,  6.407062  ,  5.474099  ,  7.9707537 ,  3.910945  ,
        3.3922858 ,  5.906201  ,  7.4693108 ,  6.3715677 ,  4.886119  ,
        1.4750051 ,  4.1936913 ,  2.1173325 ,  1.8571236 ,  0.31387544,
        1.7165041 ], dtype=float32), 'EF_trace_a': array([0.20446974, 0.08541071, 0.05094755, 0.08397235, 0.03915291,
       0.03915291, 0.12708029, 0.09598408, 0.08450471, 0.04297369,
       0.04297369, 0.11617509, 0.01574058, 0.02826516, 0.0470355 ],
      dtype=float32), 'avg_EF': 3.864853}",,0,0
3,0.762451171875,0.5834,1024,0.0015625,0.7754555443922678,"{'EF_trace_w': array([40.60386   ,  8.337886  ,  5.1830077 ,  6.8229384 ,  5.3774815 ,
        3.3993237 ,  7.147537  ,  8.482711  ,  8.945528  ,  6.069949  ,
        1.5750098 ,  5.640653  ,  4.0174627 ,  3.4802742 ,  0.41294062,
        1.0711994 ], dtype=float32), 'EF_trace_a': array([0.22506922, 0.08840194, 0.0590857 , 0.09571403, 0.04226659,
       0.04226659, 0.18721953, 0.11940724, 0.14563228, 0.05671832,
       0.05671832, 0.26828295, 0.04133475, 0.07173417, 0.0563073 ],
      dtype=float32), 'avg_EF': 4.59566}",,0,0
4,0.778245210647583,0.6453,32,0.0015625,0.8567144340938992,"{'EF_trace_w': array([2.6345582 , 0.28033823, 0.22830631, 0.3790515 , 0.23681587,
       0.310736  , 0.3755525 , 0.45902827, 0.32177436, 0.21049096,
       0.10659181, 0.33535093, 0.30268008, 0.2429952 , 0.03575297,
       0.6092798 ], dtype=float32), 'EF_trace_a': array([0.34649968, 0.13110916, 0.07727624, 0.3664703 , 0.06945049,
       0.06945049, 0.2833578 , 0.14375271, 0.26998714, 0.08594654,
       0.08594654, 0.47386006, 0.09479781, 0.31030822, 0.19365774],
      dtype=float32), 'avg_EF': 0.2941727}",,0,0
4,0.8253205418586731,0.6481,64,0.0015625,0.85669235057301,"{'EF_trace_w': array([6.7503552 , 0.750766  , 0.9060725 , 0.7099977 , 0.39735195,
       0.8316378 , 0.7612321 , 0.9660636 , 0.748731  , 0.55159247,
       0.2838774 , 0.75620276, 0.5931729 , 0.44985378, 0.06922203,
       1.1927325 ], dtype=float32), 'EF_trace_a': array([0.40525255, 0.18971978, 0.09149925, 0.16863233, 0.07468236,
       0.07468236, 0.2869216 , 0.16938746, 0.2499978 , 0.0949478 ,
       0.0949478 , 0.45992985, 0.06577851, 0.23181356, 0.11196545],
      dtype=float32), 'avg_EF': 0.6673479}",,0,0
4,0.7666265964508057,0.5869,128,0.0015625,0.8070357143878937,"{'EF_trace_w': array([24.012522  ,  4.3768926 ,  2.9646401 ,  2.6521986 ,  1.5526705 ,
        2.6616707 ,  1.8862207 ,  2.5111334 ,  2.2674916 ,  1.3667814 ,
        0.72707623,  1.4687257 ,  0.88074327,  0.7021004 ,  0.1268641 ,
        1.9811078 ], dtype=float32), 'EF_trace_a': array([0.36093068, 0.2222836 , 0.1251437 , 0.15253243, 0.10235643,
       0.10235643, 0.1821951 , 0.1320767 , 0.14006513, 0.06514271,
       0.06514271, 0.23650777, 0.02484717, 0.0708226 , 0.07185677],
      dtype=float32), 'avg_EF': 1.7579587}",,0,0
4,0.8162006735801697,0.6358,256,0.0015625,0.8232533699936337,"{'EF_trace_w': array([49.779697  ,  4.6105213 ,  3.7146914 ,  5.501892  ,  3.2311678 ,
        2.9401057 ,  4.1187277 ,  5.518822  ,  4.5131693 ,  2.7174819 ,
        0.78910303,  2.2545698 ,  0.9929081 ,  0.83709407,  0.1645779 ,
        1.6827396 ], dtype=float32), 'EF_trace_a': array([0.35944083, 0.12969442, 0.10603401, 0.19807656, 0.08039929,
       0.08039929, 0.19273476, 0.13370511, 0.11781523, 0.05171103,
       0.05171103, 0.1384592 , 0.0146603 , 0.03284023, 0.04628003],
      dtype=float32), 'avg_EF': 2.6251578}",,0,0
4,0.8044704794883728,0.6551,512,0.0015625,0.7731000085671743,"{'EF_trace_w': array([108.43793  ,  12.0982065,   7.00185  ,  10.802622 ,   5.3920455,
         5.2557287,   7.834282 ,  10.040335 ,   9.475212 ,   6.23398  ,
         1.6491815,   5.3811545,   2.409526 ,   1.9394956,   0.330113 ,
         1.8598124], dtype=float32), 'EF_trace_a': array([0.42016578, 0.1572994 , 0.09757002, 0.13475241, 0.08057334,
       0.08057334, 0.18346323, 0.13621277, 0.14149304, 0.05949307,
       0.05949307, 0.18031882, 0.02257758, 0.03861027, 0.0480896 ],
      dtype=float32), 'avg_EF': 5.249607}",,0,0
4,0.803466796875,0.6502,1024,0.0015625,0.8142816954188876,"{'EF_trace_w': array([156.82835  ,  21.576702 ,  10.382209 ,  11.155049 ,   8.029868 ,
         4.788298 ,  10.131273 ,  13.480832 ,  14.381965 ,   8.942223 ,
         2.5886874,   8.944301 ,   5.347953 ,   4.814131 ,   0.6749576,
         1.998901 ], dtype=float32), 'EF_trace_a': array([0.3432671 , 0.16260995, 0.10752822, 0.14777575, 0.08050596,
       0.08050596, 0.18502297, 0.14743635, 0.1362858 , 0.06376968,
       0.06376968, 0.20381713, 0.03261797, 0.05687852, 0.04711078],
      dtype=float32), 'avg_EF': 7.861521}",,0,0
5,0.7810496687889099,0.6178,32,0.0015625,0.8890901075469123,"{'EF_trace_w': array([8.728735  , 0.9163693 , 0.47681043, 0.47982627, 0.2630093 ,
       0.7016213 , 0.47130516, 0.45273024, 0.4104464 , 0.2977656 ,
       0.17678846, 0.4066011 , 0.354774  , 0.28022334, 0.03997574,
       1.0861782 ], dtype=float32), 'EF_trace_a': array([0.38012826, 0.31859422, 0.13405477, 0.19199185, 0.11544202,
       0.11544202, 0.22669627, 0.13754128, 0.2176758 , 0.08112086,
       0.08112086, 0.3668474 , 0.08129475, 0.22332893, 0.1332373 ],
      dtype=float32), 'avg_EF': 0.4490409}",,0,0
5,0.8050881624221802,0.6385,64,0.0015625,0.8722799056106143,"{'EF_trace_w': array([9.7255745 , 0.89489776, 0.70598674, 1.0444611 , 0.49158856,
       0.7346118 , 0.7690199 , 1.0880665 , 0.91791636, 0.5249604 ,
       0.22714926, 0.64420867, 0.5448189 , 0.42850134, 0.05710245,
       0.92418325], dtype=float32), 'EF_trace_a': array([1.0595721 , 0.2831917 , 0.17011255, 0.35311717, 0.12717575,
       0.12717575, 0.4127794 , 0.2599981 , 0.39779243, 0.1164756 ,
       0.1164756 , 0.60717314, 0.10324403, 0.36225325, 0.12837198],
      dtype=float32), 'avg_EF': 0.6708991}",,0,0
5,0.8273237347602844,0.6814,128,0.0015625,0.7634927597310808,"{'EF_trace_w': array([16.466105  ,  1.2872453 ,  1.2102543 ,  1.2564754 ,  0.89897704,
        1.2500006 ,  1.4863534 ,  1.8954178 ,  1.6434432 ,  1.0165632 ,
        0.34084946,  1.1833193 ,  0.8268815 ,  0.54461396,  0.07335761,
        1.0729586 ], dtype=float32), 'EF_trace_a': array([0.80222857, 0.21241507, 0.14755021, 0.19864747, 0.09518893,
       0.09518893, 0.39018393, 0.2197139 , 0.32503912, 0.0997805 ,
       0.0997805 , 0.50416684, 0.05668203, 0.1792937 , 0.07773497],
      dtype=float32), 'avg_EF': 1.057256}",,0,0
5,0.8139391541481018,0.6388,256,0.0015625,0.7262200282679664,"{'EF_trace_w': array([41.286896  ,  4.3997135 ,  3.9565558 ,  2.7965724 ,  2.0207803 ,
        2.4754498 ,  3.663353  ,  5.040032  ,  4.247616  ,  2.4566102 ,
        0.9748101 ,  2.3232543 ,  1.6423118 ,  1.3354273 ,  0.18766874,
        2.107045  ], dtype=float32), 'EF_trace_a': array([0.7141216 , 0.24087083, 0.15843482, 0.17240314, 0.11225276,
       0.11225276, 0.3609567 , 0.22729638, 0.27412245, 0.08827265,
       0.08827265, 0.34341767, 0.05242793, 0.12447421, 0.0640668 ],
      dtype=float32), 'avg_EF': 2.5779176}",,0,0
5,0.8140190839767456,0.6596,512,0.0015625,0.8020649883482192,"{'EF_trace_w': array([109.34575   ,  14.747021  ,   9.311405  ,   9.211814  ,
         6.7503624 ,   5.2670174 ,   6.4774165 ,   9.011384  ,
         9.2160635 ,   5.475069  ,   1.5988958 ,   4.542056  ,
         2.6117895 ,   2.2913787 ,   0.34380692,   1.7048868 ],
      dtype=float32), 'EF_trace_a': array([0.60321873, 0.19095269, 0.14664397, 0.15984072, 0.10217705,
       0.10217705, 0.18703105, 0.16131225, 0.1704776 , 0.07368962,
       0.07368962, 0.21256527, 0.03200279, 0.06963878, 0.04794909],
      dtype=float32), 'avg_EF': 5.283695}",,0,0
5,0.81787109375,0.6569,1024,0.0015625,0.8540108071433173,"{'EF_trace_w': array([228.466    ,  24.97027  ,  19.418726 ,  26.010418 ,  11.186712 ,
         7.6057053,  14.413134 ,  20.253647 ,  20.530195 ,  13.957991 ,
         3.0679154,  11.162836 ,   6.494304 ,   5.6262984,   0.7248026,
         2.4484894], dtype=float32), 'EF_trace_a': array([0.58688134, 0.27081335, 0.17763157, 0.25315276, 0.11215347,
       0.11215347, 0.2864708 , 0.20715187, 0.21067378, 0.08220528,
       0.08220528, 0.26560485, 0.04350932, 0.0709907 , 0.05054167],
      dtype=float32), 'avg_EF': 10.993892}",,0,0
