precision,net_efficiency,batch_size,learning_rate
7,,512,0.025
7,,512,0.0125
7,,512,0.00625
7,,512,0.003125
7,,512,0.0015625
7,,1024,0.1
7,,1024,0.05
7,,1024,0.025
7,,1024,0.0125
7,,1024,0.00625
7,,1024,0.003125
7,,1024,0.0015625
8,,16,0.1
8,,16,0.05
8,,16,0.025
8,,16,0.0125
8,,16,0.00625
8,,16,0.003125
8,,16,0.0015625
8,,32,0.1
8,,32,0.05
8,,32,0.025
8,,32,0.0125
8,,32,0.00625
8,,32,0.003125
8,,32,0.0015625
8,,64,0.1
8,,64,0.05
8,,64,0.025
8,,64,0.0125
8,,64,0.00625
8,,64,0.003125
8,,64,0.0015625
8,,128,0.1
8,,128,0.05
8,,128,0.025
8,,128,0.0125
8,,128,0.00625
8,,128,0.003125
8,,128,0.0015625
8,,256,0.1
8,,256,0.05
8,,256,0.025
8,,256,0.0125
8,,256,0.00625
8,,256,0.003125
8,,256,0.0015625
8,,512,0.1
8,,512,0.05
8,,512,0.025
8,,512,0.0125
8,,512,0.00625
8,,512,0.003125
8,,512,0.0015625
8,,1024,0.1
8,,1024,0.05
8,,1024,0.025
8,,1024,0.0125
8,,1024,0.00625
8,,1024,0.003125
8,,1024,0.0015625
9,,16,0.1
9,,16,0.05
9,,16,0.025
9,,16,0.0125
9,,16,0.00625
9,,16,0.003125
9,,16,0.0015625
9,,32,0.1
9,,32,0.05
9,,32,0.025
9,,32,0.0125
9,,32,0.00625
9,,32,0.003125
9,,32,0.0015625
9,,64,0.1
9,,64,0.05
9,,64,0.025
9,,64,0.0125
9,,64,0.00625
9,,64,0.003125
9,,64,0.0015625
9,,128,0.1
9,,128,0.05
9,,128,0.025
9,,128,0.0125
9,,128,0.00625
9,,128,0.003125
9,,128,0.0015625
9,,256,0.1
9,,256,0.05
9,,256,0.025
9,,256,0.0125
9,,256,0.00625
9,,256,0.003125
9,,256,0.0015625
9,,512,0.1
9,,512,0.05
9,,512,0.025
9,,512,0.0125
9,,512,0.00625
9,,512,0.003125
9,,512,0.0015625
9,,1024,0.1
9,,1024,0.05
9,,1024,0.025
9,,1024,0.0125
9,,1024,0.00625
9,,1024,0.003125
9,,1024,0.0015625
10,,16,0.1
10,,16,0.05
10,,16,0.025
10,,16,0.0125
10,,16,0.00625
10,,16,0.003125
10,,16,0.0015625
10,,32,0.1
10,,32,0.05
10,,32,0.025
10,,32,0.0125
10,,32,0.00625
10,,32,0.003125
10,,32,0.0015625
10,,64,0.1
10,,64,0.05
10,,64,0.025
10,,64,0.0125
10,,64,0.00625
10,,64,0.003125
10,,64,0.0015625
10,,128,0.1
10,,128,0.05
10,,128,0.025
10,,128,0.0125
10,,128,0.00625
10,,128,0.003125
10,,128,0.0015625
10,,256,0.1
10,,256,0.05
10,,256,0.025
10,,256,0.0125
10,,256,0.00625
10,,256,0.003125
10,,256,0.0015625
10,,512,0.1
10,,512,0.05
10,,512,0.025
10,,512,0.0125
10,,512,0.00625
10,,512,0.003125
10,,512,0.0015625
10,,1024,0.1
10,,1024,0.05
10,,1024,0.025
10,,1024,0.0125
10,,1024,0.00625
10,,1024,0.003125
10,,1024,0.0015625
11,,16,0.1
11,,16,0.05
11,,16,0.025
11,,16,0.0125
11,,16,0.00625
11,,16,0.003125
11,,16,0.0015625
11,,32,0.1
11,,32,0.05
11,,32,0.025
11,,32,0.0125
11,,32,0.00625
11,,32,0.003125
11,,32,0.0015625
11,,64,0.1
11,,64,0.05
11,,64,0.025
11,,64,0.0125
11,,64,0.00625
11,,64,0.003125
11,,64,0.0015625
11,,128,0.1
11,,128,0.05
11,,128,0.025
11,,128,0.0125
11,,128,0.00625
11,,128,0.003125
11,,128,0.0015625
11,,256,0.1
11,,256,0.05
11,,256,0.025
11,,256,0.0125
11,,256,0.00625
11,,256,0.003125
11,,256,0.0015625
11,,512,0.1
11,,512,0.05
11,,512,0.025
11,,512,0.0125
11,,512,0.00625
11,,512,0.003125
11,,512,0.0015625
11,,1024,0.1
11,,1024,0.05
11,,1024,0.025
11,,1024,0.0125
11,,1024,0.00625
11,,1024,0.003125
11,,1024,0.0015625
