precision,avg_EF,batch_size,learning_rate
2,"{'EF_trace_w': array([3540.7954 , 1373.2139 ,  719.0501 , 1015.3956 ,  234.09036,
        866.1954 , 2680.1582 , 2651.481  , 2155.6934 ,  958.73303,
        427.00742, 3812.3147 , 3379.3464 , 3522.1458 ,  383.53552,
       1163.9586 ], dtype=float32), 'EF_trace_a': array([  270.62665,   733.8875 ,    71.29049,   581.1215 ,    81.46237,
          81.46237,  4535.725  ,   816.7394 ,  4622.368  ,   686.554  ,
         686.554  , 11736.199  ,   769.56055, 31351.252  ,   382.99658],
      dtype=float32), 'avg_EF': 1326.0913}",32,0.0125
2,"{'EF_trace_w': array([71.715904 ,  3.4088187,  1.4638081,  3.0592396,  0.6651168,
        2.6734996,  4.714203 ,  3.8560333,  2.7576303,  1.8336145,
        0.9828551,  4.3897033,  3.744516 ,  4.6833405,  1.1610051,
       23.758942 ], dtype=float32), 'EF_trace_a': array([ 0.9676478 ,  2.8672838 ,  0.39429116,  0.53390104,  0.53555226,
        0.53555226,  6.3190994 ,  1.4890211 ,  4.5839267 ,  1.2405589 ,
        1.2405589 , 13.26511   ,  1.6751684 , 13.259846  ,  4.645912  ],
      dtype=float32), 'avg_EF': 3.433714}",32,0.00625
2,"{'EF_trace_w': array([ 7.208061 ,  2.6982763,  2.266633 ,  3.2813792,  1.3563693,
        3.4117925,  5.5112   ,  5.041855 ,  7.559576 ,  3.435258 ,
        1.9942226, 10.766647 , 10.472609 , 12.162714 ,  1.7390206,
       17.963642 ], dtype=float32), 'EF_trace_a': array([ 1.0025162 ,  1.2060745 ,  0.17388423,  3.2618084 ,  0.14964393,
        0.14964393,  9.804155  ,  1.5896276 , 15.367412  ,  0.94670725,
        0.94670725, 26.94867   ,  2.786511  , 55.51223   ,  5.994286  ],
      dtype=float32), 'avg_EF': 4.607625}",32,0.003125
2,"{'EF_trace_w': array([1.6447902 , 0.31804827, 0.15244639, 0.29391748, 0.16431107,
       0.29165727, 0.7260158 , 0.8297541 , 0.5907163 , 0.32156825,
       0.20079845, 0.80861586, 0.6116836 , 0.9182795 , 0.14782548,
       3.239117  ], dtype=float32), 'EF_trace_a': array([0.04560309, 0.05914593, 0.0179111 , 0.08717148, 0.01468792,
       0.01468792, 0.36118728, 0.06982443, 0.15159173, 0.05142573,
       0.05142573, 0.46319783, 0.05297763, 0.45855868, 0.3808397 ],
      dtype=float32), 'avg_EF': 0.4697057}",32,0.0015625
2,"{'EF_trace_w': array([0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 1.2619463e-36],
      dtype=float32), 'EF_trace_a': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],
      dtype=float32), 'avg_EF': 0.0}",64,0.1
2,"{'EF_trace_w': array([1.9887503 , 0.49348015, 0.13622771, 0.10604543, 0.13558356,
       0.38866642, 0.19233401, 0.15520929, 0.08000396, 0.04165419,
       0.04685952, 0.2519245 , 0.13991168, 0.01564313, 0.00342197,
       0.44318247], dtype=float32), 'EF_trace_a': array([0.51533103, 0.17995057, 0.19857281, 0.02742111, 0.19754384,
       0.19754384, 0.17268036, 0.09336876, 0.09900723, 0.0998263 ,
       0.0998263 , 0.24423909, 0.07120197, 0.01698097, 1.6668098 ],
      dtype=float32), 'avg_EF': 0.12345678}",64,0.05
2,"{'EF_trace_w': array([801.23663 , 353.11426 , 195.4939  ,  15.672467,   1.253223,
       177.41345 , 303.80194 , 253.25186 , 222.2182  , 202.2337  ,
        58.52005 , 274.70306 , 175.54831 , 226.46265 ,  41.47546 ,
       405.27084 ], dtype=float32), 'EF_trace_a': array([  63.500473 ,  223.92984  ,   19.945496 ,    4.4702444,
         41.980846 ,   41.980846 ,  457.32285  ,  192.32916  ,
        262.64713  ,  110.81331  ,  110.81331  , 1293.7526   ,
         30.542011 ,  812.49304  ,   86.9265   ], dtype=float32), 'avg_EF': 130.59523}",64,0.025
2,"{'EF_trace_w': array([738.95074 , 152.78319 , 150.56105 , 149.21463 ,  68.6824  ,
       164.05365 , 416.34235 , 572.3549  , 610.63116 , 254.78903 ,
        80.202255, 581.4077  , 518.84875 , 571.9468  ,  80.97783 ,
       348.96075 ], dtype=float32), 'EF_trace_a': array([  70.02618 ,   91.93442 ,   21.024208,  148.08223 ,   21.293095,
         21.293095,  303.90054 ,  178.0563  ,  610.48425 ,  102.17431 ,
        102.17431 , 2843.6035  ,   93.42607 , 3498.3552  ,  113.62877 ],
      dtype=float32), 'avg_EF': 259.169}",64,0.0125
2,"{'EF_trace_w': array([107.0607   ,  18.974829 ,  10.640083 ,   8.631656 ,   5.3392377,
        13.366908 ,  42.160854 ,  43.577747 ,  35.68001  ,  20.989826 ,
         7.93267  ,  49.70274  ,  52.08715  ,  64.129364 ,   5.4612446,
        51.032303 ], dtype=float32), 'EF_trace_a': array([  6.38649  ,  23.559513 ,   1.4641863,  21.139633 ,   1.272276 ,
         1.272276 , 126.12959  ,  13.983029 ,  83.84162  ,   7.697156 ,
         7.697156 , 152.31421  ,  11.439116 , 358.0287   ,  11.7912445],
      dtype=float32), 'avg_EF': 23.132921}",64,0.00625
2,"{'EF_trace_w': array([6.613239  , 1.2268435 , 0.7977581 , 2.424791  , 0.5448719 ,
       0.64279604, 3.1273553 , 2.9826467 , 2.265521  , 1.2949408 ,
       0.5853573 , 2.7233124 , 2.5496373 , 3.149922  , 0.5247099 ,
       8.913375  ], dtype=float32), 'EF_trace_a': array([0.3939116 , 0.4892115 , 0.07753597, 0.9069162 , 0.05334992,
       0.05334992, 2.461784  , 0.41473687, 2.4066558 , 0.26992708,
       0.26992708, 4.4802203 , 0.36583194, 6.6723957 , 1.5368632 ],
      dtype=float32), 'avg_EF': 1.7666916}",64,0.003125
