precision,emd,noise 5%,batch_size,learning_rate,type
4,1.336272120475769,2.258751074473063,512,0.0015625,25% pruning + lambda JR 0.1
4,1.3450005849202473,2.3111840883890786,512,0.0015625,50% pruning + lambda JR 0.1
4,1.3158454895019531,2.2600175539652505,512,0.0015625,75% pruning + lambda JR 0.1
4,1.3068673610687256,2.277502457300822,512,0.0015625,90% pruning + lambda JR 0.1
5,1.5137162605921428,2.3293514251708984,512,0.0015625,standard
5,1.3535863558451335,2.3914005359013877,512,0.0015625,10% pruning + lambda JR 0.1
5,1.3733938137690227,2.3438578049341836,512,0.0015625,25% pruning + lambda JR 0.1
5,1.3131204843521118,2.3119022051493325,512,0.0015625,50% pruning + lambda JR 0.1
5,1.4198193152745564,2.4064395427703857,512,0.0015625,75% pruning + lambda JR 0.1
5,1.3572677771250408,2.338544329007467,512,0.0015625,90% pruning + lambda JR 0.1
6,1.4926106135050456,2.369640032450358,512,0.0015625,standard
6,1.3035606145858765,2.363265554110209,512,0.0015625,10% pruning + lambda JR 0.1
6,1.3095995585123699,2.3841014305750527,512,0.0015625,25% pruning + lambda JR 0.1
6,1.3340359926223755,2.396695613861084,512,0.0015625,50% pruning + lambda JR 0.1
6,1.3976107835769653,2.500234921773275,512,0.0015625,75% pruning + lambda JR 0.1
6,1.416375756263733,2.5650699933369956,512,0.0015625,90% pruning + lambda JR 0.1
7,1.229868491490682,2.320436716079712,512,0.0015625,standard
7,1.2980451981226604,2.438511292139689,512,0.0015625,10% pruning + lambda JR 0.1
7,1.227089246114095,2.3357123136520386,512,0.0015625,25% pruning + lambda JR 0.1
7,1.161184827486674,2.2583741744359336,512,0.0015625,50% pruning + lambda JR 0.1
7,1.1755617062250774,2.2183091243108115,512,0.0015625,75% pruning + lambda JR 0.1
7,1.251038392384847,2.32686440149943,512,0.0015625,90% pruning + lambda JR 0.1
8,1.3876736958821614,2.4624069134394326,512,0.0015625,standard
8,1.3714542786280315,2.267874558766683,512,0.0015625,10% pruning + lambda JR 0.1
8,1.3634262482325237,2.2699197133382163,512,0.0015625,25% pruning + lambda JR 0.1
8,1.292802333831787,2.3193421761194863,512,0.0015625,50% pruning + lambda JR 0.1
8,1.30408775806427,2.3103042046229043,512,0.0015625,75% pruning + lambda JR 0.1
8,1.2509133021036785,2.276372790336609,512,0.0015625,90% pruning + lambda JR 0.1
9,1.4557750622431438,2.496002515157064,512,0.0015625,standard
9,1.25228746732076,2.204785704612732,512,0.0015625,10% pruning + lambda JR 0.1
9,1.1777463754018147,2.14466659228007,512,0.0015625,25% pruning + lambda JR 0.1
9,1.2137107849121094,2.1422418355941772,512,0.0015625,50% pruning + lambda JR 0.1
9,1.209455172220866,2.2607651948928833,512,0.0015625,75% pruning + lambda JR 0.1
9,1.1980472008387248,2.1652196645736694,512,0.0015625,90% pruning + lambda JR 0.1
10,1.50594429175059,2.6509152253468833,512,0.0015625,standard
10,1.3077966372172039,2.3054296573003135,512,0.0015625,10% pruning + lambda JR 0.1
10,1.2682845989863079,2.2859332164128623,512,0.0015625,25% pruning + lambda JR 0.1
10,1.3250547250111897,2.292640487353007,512,0.0015625,50% pruning + lambda JR 0.1
10,1.1689435243606567,2.2151585022608438,512,0.0015625,75% pruning + lambda JR 0.1
10,1.357573390007019,2.214247703552246,512,0.0015625,90% pruning + lambda JR 0.1
11,1.3571661313374836,2.8628564278284707,512,0.0015625,standard
11,1.3037946224212646,2.197233239809672,512,0.0015625,10% pruning + lambda JR 0.1
11,1.1326062679290771,2.210378726323446,512,0.0015625,25% pruning + lambda JR 0.1
11,1.1489769220352173,2.2020437717437744,512,0.0015625,50% pruning + lambda JR 0.1
11,1.1497801542282104,2.220264116923014,512,0.0015625,75% pruning + lambda JR 0.1
11,1.209444562594096,2.3278220097223916,512,0.0015625,90% pruning + lambda JR 0.1
