precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
3,1.5135197639465332,2.3316593964894614,2.5589680274327598,2.7143906354904175,2.82257342338562,128,0.0015625,standard
4,1.2978520790735881,2.2223252058029175,2.4639793237050376,2.6154442628224692,2.70233416557312,128,0.0015625,standard
5,1.257047414779663,2.202086885770162,2.4556421836217246,2.590490937232971,2.6655046145121255,128,0.0015625,standard
6,1.105781356493632,2.484972357749939,2.854363958040873,3.0522411664326987,3.1707555850346885,128,0.0015625,standard
7,1.2088747024536133,2.6345896323521933,2.862289865811666,2.961733023325602,3.0307685136795044,128,0.0015625,standard
8,1.1387359301249187,2.586887796719869,2.805192311604818,2.923575480779012,3.010077953338623,128,0.0015625,standard
9,1.145585020383199,2.924545089403788,3.4937618573506675,3.8506712516148887,4.103003303209941,128,0.0015625,standard
10,1.1375094652175903,2.7850396235783896,3.166488289833069,3.385116775830587,3.5382781426111856,128,0.0015625,standard
11,1.3039500713348389,3.018237352371216,3.309354305267334,3.4797499974568686,3.6005378564198813,128,0.0015625,standard
2,2.9408181508382163,3.29490598042806,3.386911471684774,3.471768379211426,3.536949555079142,256,0.0015625,standard
3,1.5240367650985718,2.490853786468506,2.7353212038675943,2.9225247303644815,3.049927830696106,256,0.0015625,standard
4,1.3850841919581096,2.3283826112747192,2.626412113507589,2.813076376914978,2.934110919634501,256,0.0015625,standard
5,1.3332398335138957,2.258461117744446,2.5358221928278604,2.6908328533172607,2.7799172401428223,256,0.0015625,standard
6,1.4506330490112305,2.4869877099990845,2.725550333658854,2.83608349164327,2.902013142903646,256,0.0015625,standard
7,1.226340373357137,2.5513352950414023,2.8678518533706665,3.0267093181610107,3.125140905380249,256,0.0015625,standard
8,1.2876205444335938,2.5983957052230835,2.899084130922953,3.0478497743606567,3.143339514732361,256,0.0015625,standard
9,1.1817245483398438,2.8832035859425864,3.1572044690450034,3.307552138964335,3.417354106903076,256,0.0015625,standard
10,1.1835861206054688,2.565952261288961,2.880121032396952,3.0185317198435464,3.1052966912587485,256,0.0015625,standard
11,1.2662525177001953,2.656208554903666,2.956432819366455,3.110065738360087,3.209478815396627,256,0.0015625,standard
2,3.0916452407836914,3.358797232309977,3.470825513203939,3.5586625734965005,3.6257753372192383,512,0.0015625,standard
3,1.5807191928227742,2.4335294167200723,2.655036449432373,2.8274927536646524,2.9377367893854776,512,0.0015625,standard
4,1.7443809111913045,2.307533303896586,2.5805978775024414,2.75470240910848,2.8717571099599204,512,0.0015625,standard
5,1.5137162605921428,2.3293514251708984,2.611553986867269,2.7538743019104004,2.83279287815094,512,0.0015625,standard
6,1.4926106135050456,2.369640032450358,2.6028356154759726,2.7289730310440063,2.804864486058553,512,0.0015625,standard
7,1.229868491490682,2.320436716079712,2.5967939297358194,2.7335029443105063,2.8131921688715615,512,0.0015625,standard
8,1.3876736958821614,2.4624069134394326,2.7121886014938354,2.8263330856959024,2.8965086142222085,512,0.0015625,standard
9,1.4557750622431438,2.496002515157064,2.7658917903900146,2.889845887819926,2.967243274052938,512,0.0015625,standard
10,1.50594429175059,2.6509152253468833,2.974071979522705,3.1303128798802695,3.2310712734858194,512,0.0015625,standard
11,1.3571661313374836,2.8628564278284707,3.2850899696350098,3.4890819787979126,3.6185461282730103,512,0.0015625,standard
2,2.9756664435068765,3.3971351782480874,3.5616098244984946,3.7057631810506186,3.805878480275472,1024,0.0015625,standard
3,1.5844767888387044,2.494282046953837,2.7133804162343345,2.8928812742233276,3.0097156365712485,1024,0.0015625,standard
4,1.5317053000132244,2.351296861966451,2.620855132738749,2.780227462450663,2.8839576641718545,1024,0.0015625,standard
5,1.2517183621724446,2.462254802385966,2.7615951697031655,2.9124693870544434,2.993877092997233,1024,0.0015625,standard
6,1.803835391998291,2.6490745147069297,2.9388469060262046,3.0922216971715293,3.184092084566752,1024,0.0015625,standard
7,1.6159816980361938,2.420282244682312,2.7411158879597983,2.9004583756128945,2.990608056386312,1024,0.0015625,standard
8,1.4007587035497029,2.632294217745463,2.9793512423833213,3.164429505666097,3.2836599747339883,1024,0.0015625,standard
9,1.3868520657221477,3.119078278541565,3.7125107049942017,4.049018820126851,4.26874311765035,1024,0.0015625,standard
10,1.5081867774327595,2.7875426212946572,3.160432815551758,3.3475892543792725,3.4642056226730347,1024,0.0015625,standard
11,1.6039106051127117,2.8000259399414062,3.2861552238464355,3.552412430445353,3.716494599978129,1024,0.0015625,standard
