precision,trace,eigenvalue,batch_size,learning_rate
5,46190.74318949381,98.95887756347656,32,0.003125
5,153023.58197021484,648.546142578125,32,0.0015625
5,0.0,0.0,64,0.1
5,-2.5049143592308903e-28,-2.3472663089893376e-32,64,0.05
5,-2.9028350866526904e-10,-1.3685486403078606e-15,64,0.025
5,98531.57953898112,184.0615997314453,64,0.0125
5,87654.74967447917,179.1911875406901,64,0.00625
5,99912.9873046875,551.02490234375,64,0.003125
5,79196.20360819499,384.46117146809894,64,0.0015625
5,0.0,0.0,128,0.1
5,0.0,0.0,128,0.05
5,625525.1309204102,3701.4369303385415,128,0.025
5,96440.38801066081,185.16487630208334,128,0.0125
5,56179.870376586914,107.27101643880208,128,0.00625
5,158382.94849650064,1005.9506022135416,128,0.003125
5,88747.29779307048,729.2854410807291,128,0.0015625
5,0.0,0.0,256,0.1
5,-3.2050443480798866e-26,-1.1075144780792059e-29,256,0.05
5,-3.199362061198178e-06,-3.223126417613761e-08,256,0.025
5,99688.71486409505,174.80823771158853,256,0.0125
5,42878.31374359131,128.69729614257812,256,0.00625
5,62393.73046875,201.0244598388672,256,0.003125
5,83096.68456522624,292.38575236002606,256,0.0015625
5,0.0,0.0,512,0.1
5,0.0,0.0,512,0.05
5,-4.936890103843206e-12,-4.079073548867779e-17,512,0.025
5,80770.69084676106,242.67257690429688,512,0.0125
5,47251.12889099121,178.24028523763022,512,0.00625
5,102597.43754069011,593.7840169270834,512,0.003125
5,28037.259043375652,161.91742960611978,512,0.0015625
5,0.0,0.0,1024,0.1
5,-5.124535638799933e-38,-3.755012784902401e-42,1024,0.05
5,-1.4680126122452892e-08,-4.6493262018110215e-10,1024,0.025
5,50606.90584309896,90.94713338216145,1024,0.0125
5,90366.9573059082,156.78763834635416,1024,0.00625
5,34118.30328114828,127.01523335774739,1024,0.003125
5,34261.15903981527,180.95502726236978,1024,0.0015625
6,0.0,0.0,16,0.1
6,-5.385472202737392e-25,-3.730793314409272e-28,16,0.05
6,1.2651495933532715,0.6325736840566,16,0.025
6,53776.17816289266,246.16041564941406,16,0.0125
6,-42934.28994210561,-1054.178487141927,16,0.00625
6,152712.67950439453,246.54727172851562,16,0.003125
6,150833.5220336914,394.8061930338542,16,0.0015625
6,0.0,0.0,32,0.1
6,-5.863879296494127e-20,-1.7499819794723161e-22,32,0.05
6,389074125.2213542,4403685.583333333,32,0.025
6,20440.47696828842,363.7840067545573,32,0.0125
6,107901.61983235677,154.96135457356772,32,0.00625
6,153903.5474243164,573.3989868164062,32,0.003125
6,262267.7135925293,1625.15234375,32,0.0015625
6,0.0,0.0,64,0.1
6,0.0,0.0,64,0.05
6,441053.5889078776,1073.8158162434895,64,0.025
6,224278.53389485678,411.37111409505206,64,0.0125
6,222253.8564453125,262.5364939371745,64,0.00625
6,293374.38979085285,1173.8014322916667,64,0.003125
6,340604.71190388995,2353.895263671875,64,0.0015625
6,0.0,0.0,128,0.1
6,0.0,0.0,128,0.05
6,246385.12544759116,869.7762044270834,128,0.025
6,392212.0756429036,594.1931457519531,128,0.0125
6,218625.79912312826,918.1548461914062,128,0.00625
6,284369.50384521484,1467.4973958333333,128,0.003125
6,344095.0046081543,2115.607666015625,128,0.0015625
6,0.0,0.0,256,0.1
6,-8.615384311154974e-30,-2.0885346774451665e-34,256,0.05
6,67.88235578934352,0.6699440081914266,256,0.025
6,293015.6700236003,609.2820027669271,256,0.0125
6,201764.14490763345,1473.899658203125,256,0.00625
6,311832.21219889325,2150.2460123697915,256,0.003125
6,352809.4566040039,2428.1612955729165,256,0.0015625
6,0.0,0.0,512,0.1
6,-0.0002299313826708745,-2.2651004959091856e-06,512,0.05
6,-1.7112579648403323e-05,-1.752280004059988e-07,512,0.025
6,164887.9835611979,687.48974609375,512,0.0125
6,92956.66576131184,326.6925557454427,512,0.00625
6,138872.7817586263,483.7705078125,512,0.003125
6,69275.7300008138,307.04114786783856,512,0.0015625
6,0.0,0.0,1024,0.1
6,-1.4572867373462288e-29,-1.1732622431704195e-32,1024,0.05
6,-2.229574899342545e-06,-2.0318665268822162e-08,1024,0.025
6,318187.8645833333,980.929443359375,1024,0.0125
6,93767.3552347819,317.68328857421875,1024,0.00625
6,154331.7611287435,405.4108174641927,1024,0.003125
6,71975.2322031657,298.8930257161458,1024,0.0015625
7,-2.55108936221104e-29,-6.00239478362752e-32,16,0.1
7,-5.786671519903262e-28,-6.1285124239713045e-31,16,0.05
7,291789.99743652344,993.2320760091146,16,0.025
7,-1942017.3219401042,-12452.718424479166,16,0.0125
7,1924607.658203125,2425.4957682291665,16,0.00625
7,506998.4099121094,729.1287434895834,16,0.003125
7,288591.54217529297,956.0299072265625,16,0.0015625
7,0.0,0.0,32,0.1
7,-8.99098827901105e-19,-9.748230349205451e-22,32,0.05
7,2786190.74609375,15746.866861979166,32,0.025
7,692189.5123697916,1168.3026936848958,32,0.0125
7,620843.3985392252,1271.3810628255208,32,0.00625
7,671143.7605794271,1315.4549153645833,32,0.003125
7,401764.5366617839,1614.1634521484375,32,0.0015625
7,0.0,0.0,64,0.1
7,-1.25560842955052e-31,-6.893189297703918e-35,64,0.05
7,4626926.381510417,13515.933919270834,64,0.025
7,1054383.5434570312,1370.4528401692708,64,0.0125
7,328197.5067138672,848.0435587565104,64,0.00625
7,670687.2107340494,2864.15234375,64,0.003125
7,347212.34999593097,1516.2743326822917,64,0.0015625
7,0.0,0.0,128,0.1
7,-7.555380538161924e-26,-9.10046124895494e-29,128,0.05
7,188513.02753702799,742.3656514485677,128,0.025
7,497582.2447916667,988.873291015625,128,0.0125
7,632795.1592203776,2043.7742106119792,128,0.00625
7,380158.6414082845,2136.1802571614585,128,0.003125
7,868649.1958007812,4365.350911458333,128,0.0015625
7,0.0,0.0,256,0.1
7,-2.1330093555488452e-27,-1.9579001306919357e-30,256,0.05
7,714726.1919352213,3009.641642252604,256,0.025
7,691277.6275227865,1275.083719889323,256,0.0125
7,502266.39807128906,2257.03759765625,256,0.00625
7,881459.5293782552,4054.731689453125,256,0.003125
7,331126.9946492513,1647.5277913411458,256,0.0015625
7,0.0,0.0,512,0.1
7,0.0,0.0,512,0.05
7,-1.1637024896503783e-07,-1.2038791815290513e-09,512,0.025
7,526614.4546305338,1871.7384033203125,512,0.0125
7,843339.9027913412,4392.794596354167,512,0.00625
7,518659.16955566406,2052.770304361979,512,0.003125
7,211538.83612060547,498.7879943847656,512,0.0015625
7,0.0,0.0,1024,0.1
7,-1.978349901490001e-34,-6.453588993047764e-39,1024,0.05
7,-8.574288106629897e-07,-8.179927254066873e-09,1024,0.025
7,720568.4787597656,1452.1608072916667,1024,0.0125
7,359474.8829345703,1504.4403483072917,1024,0.00625
7,243270.83022054037,968.7178955078125,1024,0.003125
7,181368.56729125977,672.80126953125,1024,0.0015625
8,0.0,0.0,16,0.1
8,0.0,0.0,16,0.05
8,297828.94376627606,742.0363260904948,16,0.025
8,320724.8935546875,812.753173828125,16,0.0125
8,3529446.3678385415,5294.709147135417,16,0.00625
8,3818799.5520833335,5140.23193359375,16,0.003125
8,500154.6543375651,937.6447347005209,16,0.0015625
8,0.0,0.0,32,0.1
8,26298393.932291668,100836.51302083333,32,0.05
8,10532769.52734375,36165.255859375,32,0.025
8,2203089.818359375,4333.006184895833,32,0.0125
8,2330186.2532552085,3603.084228515625,32,0.00625
8,1120037.8509114583,2262.9490559895835,32,0.003125
8,1463017.7473958333,4010.5450846354165,32,0.0015625
8,0.0,0.0,64,0.1
8,-3.266656402998155e-23,-9.79236024414845e-27,64,0.05
8,4264601.121744792,14646.158203125,64,0.025
8,53875.030110677086,166.4639434814453,64,0.0125
8,5718767.6796875,8436.434244791666,64,0.00625
8,2736774.044921875,7106.673177083333,64,0.003125
8,552962.3677571615,2493.7569173177085,64,0.0015625
8,0.0,0.0,128,0.1
8,-3.263631235805994e-17,-2.717028303682335e-21,128,0.05
8,63690008.997395836,624723.5,128,0.025
8,1767588.881998698,3194.3646647135415,128,0.0125
8,2324725.7970377603,6290.318033854167,128,0.00625
8,1474636.7350260417,6333.290690104167,128,0.003125
8,912488.4285888672,4346.627115885417,128,0.0015625
8,0.0,0.0,256,0.1
8,-6.568491486050608e-28,-2.4195572854684354e-31,256,0.05
8,407054815.8958333,4357756.083333333,256,0.025
8,1952459.509765625,4461.026774088542,256,0.0125
8,946191.5925292969,2951.7548014322915,256,0.00625
8,3003258.9311523438,9189.6064453125,256,0.003125
8,465624.6926269531,1070.6764526367188,256,0.0015625
8,0.0,0.0,512,0.1
8,-8.924559162314247e-18,-1.4042740207852516e-21,512,0.05
8,-2.9158502169110887e-06,-2.5479865920866967e-08,512,0.025
8,1229732.8095703125,2035.4999186197917,512,0.0125
8,684803.9360351562,2311.6654459635415,512,0.00625
8,450432.7864583333,1241.0053304036458,512,0.003125
