precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
4,1.7205026149749756,2.3240679105122886,2.647482395172119,2.8775678475697837,3.03528102238973,1024,0.0015625,30% noise injection
5,1.850488265355428,2.4255818923314414,2.7401196559270224,2.954691171646118,3.09399950504303,1024,0.0015625,30% noise injection
6,1.6875402530034382,2.1700236399968467,2.4679356813430786,2.677858074506124,2.8148836294809976,1024,0.0015625,30% noise injection
7,1.6569186051686604,2.2886205116907754,2.6810795068740845,2.916367212931315,3.058506409327189,1024,0.0015625,30% noise injection
8,1.6733534336090088,2.371489922205607,2.7104628483454385,2.920246720314026,3.06243896484375,1024,0.0015625,30% noise injection
9,1.5153526465098064,2.2372183799743652,2.650779366493225,2.9030845562616983,3.048569122950236,1024,0.0015625,30% noise injection
10,1.7946070830027263,2.256711006164551,2.639251391092936,2.8630876541137695,3.003148873647054,1024,0.0015625,30% noise injection
11,1.506258447964986,2.129095435142517,2.460374395052592,2.673835794130961,2.8128923177719116,1024,0.0015625,30% noise injection
2,2.9834233125050864,3.057976563771566,3.154181877772013,3.23079514503479,3.2796102364857993,1024,0.0015625,50% noise injection
3,2.077148199081421,2.441731890042623,2.663515567779541,2.8611090183258057,3.019993782043457,1024,0.0015625,50% noise injection
4,1.62049667040507,2.1860568126042685,2.478864232699076,2.6748267809549966,2.808271845181783,1024,0.0015625,50% noise injection
5,1.4976649681727092,2.207249919573466,2.537204464276632,2.757729689280192,2.891621390978495,1024,0.0015625,50% noise injection
6,1.7410622835159302,2.3790631691614785,2.746617635091146,2.963570753733317,3.1001954873402915,1024,0.0015625,50% noise injection
7,1.6254819234212239,2.3070364395777383,2.676916162172953,2.9081163009007773,3.0606653292973838,1024,0.0015625,50% noise injection
8,1.8761221965154011,2.286234656969706,2.605821371078491,2.810139815012614,2.945418953895569,1024,0.0015625,50% noise injection
9,1.7474559148152669,2.206115484237671,2.640636603037516,2.919738531112671,3.087598959604899,1024,0.0015625,50% noise injection
10,1.7848823070526123,2.423756957054138,2.7557523250579834,2.9538206259409585,3.071897109349569,1024,0.0015625,50% noise injection
11,1.7546087900797527,2.3125847975413003,2.671905517578125,2.8759027322133384,3.015537659327189,1024,0.0015625,50% noise injection
2,2.9872814814249673,3.059269666671753,3.2561236222585044,3.4229420820871987,3.509138027826945,1024,0.0015625,80% noise injection
3,1.8175387779871623,2.3980325857798257,2.6443169514338174,2.8313830693562827,2.9645247062047324,1024,0.0015625,80% noise injection
4,1.8465362389882405,2.3153350353240967,2.6514248847961426,2.9004890521367392,3.0756468375523887,1024,0.0015625,80% noise injection
5,1.745434562365214,2.3321187496185303,2.6848610242207847,2.918136239051819,3.0658414363861084,1024,0.0015625,80% noise injection
6,1.5891584157943726,2.2124014298121133,2.5304515759150186,2.7476933002471924,2.8907892306645713,1024,0.0015625,80% noise injection
7,1.612400770187378,2.235426584879557,2.6223827600479126,2.8442941904067993,2.981178363164266,1024,0.0015625,80% noise injection
8,1.753689706325531,2.332007129987081,2.6664962768554688,2.8805213371912637,3.02492622534434,1024,0.0015625,80% noise injection
9,1.5725417534510295,2.3085904916127524,2.646956205368042,2.8474671840667725,2.9780815045038858,1024,0.0015625,80% noise injection
10,1.6723072131474812,2.258430560429891,2.6292704741160073,2.8829074700673423,3.0433343251546225,1024,0.0015625,80% noise injection
11,1.6043481230735779,2.304405609766642,2.5826797087987265,2.7502164045969644,2.8625112771987915,1024,0.0015625,80% noise injection
