precision,avg_cka,batch_size,learning_rate
8,0.033959331197871104,256,0.025
8,0.5229537934064865,256,0.0125
8,0.7292696336905161,256,0.00625
8,0.7589953674210442,256,0.003125
8,0.7443785137600369,256,0.0015625
8,0.0,512,0.1
8,0.7286052805268102,512,0.05
8,0.8139558823572265,512,0.025
8,0.5213708099391725,512,0.0125
8,0.794837024476793,512,0.00625
8,0.7245781620343527,512,0.003125
8,0.7343851129213969,512,0.0015625
8,0.0,1024,0.1
8,0.7598355652557479,1024,0.05
8,0.7247584859530131,1024,0.025
8,0.6039191219541762,1024,0.0125
8,0.7884692086113824,1024,0.00625
8,0.7588666793372896,1024,0.003125
8,0.7561516596211327,1024,0.0015625
9,0.0,16,0.1
9,0.20774720629884139,16,0.05
9,0.38331780665450627,16,0.025
9,0.5685820082823435,16,0.0125
9,0.6065179076459672,16,0.00625
9,0.8001294516854816,16,0.003125
9,0.7206808494196998,16,0.0015625
9,0.0,32,0.1
9,0.49623551729342175,32,0.05
9,0.06439080329840469,32,0.025
9,0.5936608231729932,32,0.0125
9,0.6105108277665244,32,0.00625
9,0.7562387254503038,32,0.003125
9,0.7278974072800742,32,0.0015625
9,0.0,64,0.1
9,0.5529069658368826,64,0.05
9,0.3253410673803753,64,0.025
9,0.6154557532734342,64,0.0125
9,0.6980536546972063,64,0.00625
9,0.6992998288737403,64,0.003125
9,0.7373605370521545,64,0.0015625
9,0.16991846955918138,128,0.1
9,0.3978795981703216,128,0.05
9,0.1863156474298901,128,0.025
9,0.6749181780550215,128,0.0125
9,0.6842576464017233,128,0.00625
9,0.7577879561318291,128,0.003125
9,0.8087716102600098,128,0.0015625
9,0.1114629540178511,256,0.1
9,0.28988127244843376,256,0.05
9,0.6732879328644938,256,0.025
9,0.5231038398212857,256,0.0125
9,0.5424325118462245,256,0.00625
9,0.7065638668007321,256,0.003125
9,0.7508752213584052,256,0.0015625
9,0.0,512,0.1
9,0.32796803515197503,512,0.05
9,0.9090431133906046,512,0.025
9,0.49957368274529773,512,0.0125
9,0.6830921322107315,512,0.00625
9,0.7380728258026971,512,0.003125
9,0.7690690027342902,512,0.0015625
9,0.0,1024,0.1
9,0.27482201324568856,1024,0.05
9,0.6843320197529263,1024,0.025
9,0.664613770114051,1024,0.0125
9,0.7818257974253761,1024,0.00625
9,0.5010480218463474,1024,0.003125
9,0.7623686790466309,1024,0.0015625
10,0.0,16,0.1
10,0.5489574006448189,16,0.05
10,0.07823871324459712,16,0.025
10,0.5022427373462254,16,0.0125
10,0.621723108821445,16,0.00625
10,0.5460744102795919,16,0.003125
10,0.7803186840481229,16,0.0015625
10,0.18518785795013284,32,0.1
10,0.8877516057756212,32,0.05
10,0.2153110358501888,32,0.025
10,0.6404952903588613,32,0.0125
10,0.7017098036077287,32,0.00625
10,0.7314175085888969,32,0.003125
10,0.743224130736457,32,0.0015625
10,0.0,64,0.1
10,0.7427153926756647,64,0.05
10,0.38387707869211835,64,0.025
10,0.5848056856128905,64,0.0125
10,0.57062100370725,64,0.00625
10,0.6039082258939743,64,0.003125
10,0.6820033209191428,64,0.0015625
10,0.0,128,0.1
10,0.3208951556225282,128,0.05
10,0.04665740069726275,128,0.025
10,0.5771477272113165,128,0.0125
10,0.5843172371387482,128,0.00625
10,0.7050782061285443,128,0.003125
10,0.6240003324217267,128,0.0015625
10,0.0,256,0.1
10,0.4615422644548946,256,0.05
10,0.1721929169078875,256,0.025
10,0.5541861471202638,256,0.0125
10,0.6314096219009824,256,0.00625
10,0.7700222598181831,256,0.003125
10,0.7352312389347289,256,0.0015625
10,0.0,512,0.1
10,0.8065852125485738,512,0.05
10,0.7195525070031484,512,0.025
