precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,avg_cka,avg_EF,net_efficiency,trace,eigenvalue
2,13.756807327270508,13.756808280944824,13.756808280944824,13.756808280944824,13.756808280944824,16,0.1,0.0,0.0,0.0055294114308958,0.0,0.0
2,13.756807327270508,13.756729125976562,13.755988121032717,13.755216598510742,13.75498390197754,16,0.05,0.046884861567782,0.0,0.04945599469,0.0,0.0
2,7.678293704986572,3.5535945892333984,3.553208112716675,3.553208112716675,3.553208112716675,16,0.025,0.2352034698188718,0.0,0.0059699943027382,0.09636691038586952,-0.20466395613588112
2,3.5532188415527344,3.562032699584961,3.5626845359802246,3.5628952980041504,3.563481092453003,16,0.0125,0.4132511851300175,0.0,0.0030228441539583,0.08479567927060362,-0.21623505460552922
2,3.189356724421183,3.169098377227783,3.287214994430542,3.410857915878296,3.507692575454712,16,0.00625,0.4685593959358003,-4.695737515147976,0.1153875377319912,3.854808669825577,1.646188306535307
2,3.0947959423065186,2.9888739585876465,3.216609477996826,3.4479410648345947,3.6411967277526855,16,0.003125,0.4644092155827416,-3.8755645765128763,0.1649041902901466,4.392295670989259,1.9902465484969538
2,2.7687958081563315,2.6078531742095947,2.9486842155456543,3.290246725082397,3.584120988845825,16,0.0015625,0.5060344346695476,-2.471942973774289,0.205130956701593,3.5476080023740244,-149.52750142415366
2,13.756810188293455,13.756808280944824,13.756808280944824,13.756808280944824,13.756808280944824,32,0.1,0.0,0.0,0.086255808699492,0.0,0.0
2,13.756810188293455,13.756712913513184,13.756295204162598,13.755823135375977,13.755777359008787,32,0.05,0.3665824161014623,0.0,0.0715814192161761,0.0,0.0
2,8.856017112731934,3.5531997680664062,3.550909757614136,3.5535638332366943,3.574366331100464,32,0.025,0.3283779527995042,0.0,0.0028207060321213,0.14077523977975975,-0.160255592012934
2,3.5498488744099936,3.539049863815308,3.53450870513916,3.530791759490967,3.52778697013855,32,0.0125,0.0792651251217143,0.0,0.036538812769275,1.616607599714755,-0.20078954688401876
2,3.207635283470154,3.170452117919922,3.3095145225524902,3.4521055221557617,3.5549211502075195,32,0.00625,0.2097241490873163,-4.274699585452233,0.1161890760446035,3.795145144169021,1.4145958382095687
2,2.891343673070272,2.8856709003448486,3.098428964614868,3.340414047241211,3.549936532974243,32,0.003125,0.644201341809498,-3.5750142431366236,0.1660017975413147,3.900718578375121,1.5454777688625607
2,2.894218842188517,2.9104647636413574,3.0927603244781494,3.2912325859069824,3.46475601196289,32,0.0015625,0.6536948912673526,-3.6078310265518407,0.1570100611328915,4.279723053749009,1.7811475925806517
2,13.756810188293455,13.756808280944824,13.756808280944824,13.756808280944824,13.756808280944824,64,0.1,0.0,0.0,0.0927967747525011,0.0,0.0
2,13.756810188293455,13.756437301635742,13.75409698486328,13.753427505493164,13.754460334777832,64,0.05,0.0558655659357706,0.0,0.0807694921555136,0.0,0.0
2,9.915040651957192,8.088204383850098,8.344703674316406,8.923652648925781,9.823466300964355,64,0.025,0.6857492667105463,-23.2554764168765,0.0436460408485857,-5.414561399971821e-12,-8.71170320168244e-17
2,3.4843674500783286,3.4677531719207764,3.546490430831909,3.6226534843444815,3.683509826660156,64,0.0125,0.0543547123411877,-3.5898896970090424,0.0985575139517995,3.418185464405548,1.3335477130914992
2,3.457327047983805,3.374953031539917,3.409932851791382,3.4407384395599365,3.4651544094085693,64,0.00625,0.1272036962711793,-5.861747840859395,0.0772382911504181,3.414385100210456,1.360964590616324
2,3.0488696893056235,3.004939556121826,3.1770505905151367,3.374532699584961,3.5503525733947754,64,0.003125,0.5155745409429073,-4.81273423408441,0.1539595169218185,4.452240805517982,2.1545614239569284
2,2.925020376841227,2.922750234603882,3.0761523246765137,3.262928009033203,3.426664352416992,64,0.0015625,0.5902399139271842,-4.904178719676095,0.1265532348579652,4.829788087600439,2.3114853438545566
2,13.756810188293455,13.756808280944824,13.756808280944824,13.756808280944824,13.756808280944824,128,0.1,0.0,0.0,0.0543174499121245,0.0,0.0
2,13.756810188293455,13.75678825378418,13.755951881408691,13.755475044250488,13.755545616149902,128,0.05,0.3497588286797206,0.0,5.472478697932525e-05,0.0,0.0
2,8.545428911844889,7.975491046905518,7.991893768310547,8.13248348236084,8.60416316986084,128,0.025,0.6251670809255706,-25.962407322585463,0.0046015572868773,-1.8111822376258868e-11,-9.184977522888561e-16
2,3.5085031191507974,3.4961400032043457,3.4953746795654297,3.494968175888061,3.4945242404937744,128,0.0125,0.1666277382933831,0.0,0.0659137057044143,1.8206223154759036,-0.1959937264250272
2,3.110898733139038,3.014469146728516,3.1558358669281006,3.341209888458252,3.50415587425232,128,0.00625,0.7427107791105906,-2.5123785108426926,0.1328901968611404,3.834209715993556,1.3579041315316804
2,3.047548691431681,3.0612151622772217,3.2029716968536377,3.380989789962769,3.537928581237793,128,0.003125,0.5644222531053755,-3.4035648109458525,0.1332174749064573,4.019884857689728,1.5942193476281818
2,2.7152910232543945,2.5434958934783936,2.863616943359375,3.1837196350097656,3.4454054832458496,128,0.0015625,0.5333307840757899,-1.7519396871745478,0.2894503087331322,4.131345137245521,1.4766487733103224
2,13.756810188293455,13.756808280944824,13.756808280944824,13.756808280944824,13.756808280944824,256,0.1,0.0,0.0,0.0129733427842258,0.0,0.0
2,13.756810188293455,13.756808280944824,13.75678539276123,13.756587028503418,13.756714820861816,256,0.05,0.0,0.0,0.0028118290595018,0.0,0.0
