precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate
3,13.756807327270508,6.9323811384328574e-06,-0.0020727819603914245,-0.004533777264535089,-0.007646416395691442,16,0.1
3,13.756806373596191,-0.0507173039246916,-0.13124384881113468,-0.16097683357507703,-0.1430704918531691,16,0.05
3,6.588415225346883,-41.23706691785327,-39.68624601483142,-38.18479578083129,-37.0282562853636,16,0.025
3,2.9312841097513833,-6.0720950415206065,5.701550451698828,15.87585595849051,23.91710355332069,16,0.0125
3,1.9677091836929321,9.590914182616244,31.739590258071125,52.73531547664016,69.94328422028843,16,0.00625
3,1.860877513885498,5.372304674157338,32.45874548979985,60.89552376488869,84.63636403237581,16,0.003125
3,1.5835820039113362,19.629123611059747,57.13281789141293,90.09469653152432,115.22471587853765,16,0.0015625
3,13.756810188293457,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,32,0.1
3,13.756457010904947,-0.09451618049717656,-0.16980375685467763,-0.14394531672452304,-0.10619754018063782,32,0.05
3,7.354602177937825,-51.334602489723835,-50.22146626291334,-49.29054290322896,-48.606855640261074,32,0.025
3,2.7384634017944336,-8.484828592293818,8.088779437274138,24.773993404810817,38.42003289584804,32,0.0125
3,1.8177190224329631,13.255457274909531,39.72965038756549,63.19289114249336,81.49511950064615,32,0.00625
3,1.7299485206604004,9.91874921615837,39.25737982588035,66.86427515149677,89.10480117641708,32,0.003125
3,1.4285861651102703,20.033760437798108,58.91069280243509,92.79898601306401,119.52397154080818,32,0.0015625
3,13.756810188293457,-1.386475939339182e-05,-0.0004921989584654096,-0.0008942769808737723,-0.0014280702175193574,64,0.1
3,13.746607144673666,-0.8998062511124654,-1.191223929040963,-1.0547558734648195,-0.8568907210532908,64,0.05
3,8.54724391301473,-11.253792658910832,-3.984741200070843,9.075705227349948,22.458296256510195,64,0.025
3,3.545067469278971,-0.45599739880976836,-0.4104061777191803,-0.3548412465124479,-0.2416803251272531,64,0.0125
3,1.9190647999445598,4.8239287309472125,30.587472406735234,55.76961243919045,75.47498183398322,64,0.00625
3,1.693191647529602,12.008522393848681,43.92859348044756,73.54681279381359,96.33735888446252,64,0.003125
3,1.5340059995651245,14.555451724894944,52.552634697616405,85.51196265204662,111.72795676154544,64,0.0015625
3,10.352365732192993,-65.71307287039126,-65.07113648246772,-63.54707100157069,-61.649471710315815,128,0.1
3,13.756810188293457,-0.00028422756756453233,-0.013324033777049538,-0.02911599472612282,-0.04043657077082724,128,0.05
3,5.44170606136322,-44.41753072329751,-40.58548329655543,-37.047071964655714,-34.20922062465405,128,0.025
3,3.2618183294932046,-10.487052255925725,-0.21001787556726703,10.090041040442955,18.440104521158737,128,0.0125
3,2.433018445968628,-15.925691577675215,4.901478409367182,25.598004237017825,42.350050500650724,128,0.00625
3,1.691346565882365,12.045457055036712,48.016773748224146,84.24705497328382,113.48685853557912,128,0.003125
3,1.5135197639465332,19.040015046874984,52.98547831640087,83.31046057110704,106.84144481505041,128,0.0015625
3,13.756810188293457,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,256,0.1
3,13.756810188293457,-0.0005199284772521933,-0.00933791545144939,-0.020277210612835536,-0.024700068859327528,256,0.05
3,8.314114093780518,-2.53336767614931,7.6186279609136545,20.694603526585084,31.589982335932042,256,0.025
3,2.479948401451111,-15.334705069841032,0.7435016967247768,15.50845622440462,27.662451873655712,256,0.0125
3,1.6805053154627483,15.499795099706196,43.966457782890146,68.8906330878778,89.06654113099995,256,0.00625
3,1.6571085055669148,15.199860555125944,47.455271327731644,77.43866728760466,101.12586532879648,256,0.003125
3,1.5240367650985718,19.684013833262924,57.1826831251823,94.90104733472371,125.28557327842746,256,0.0015625
3,13.756810188293457,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,512,0.1
3,13.756810188293457,-1.386475939339182e-05,-0.0017400273038706733,-0.005954914159461787,-0.009892505827185063,512,0.05
3,8.493816693623861,1.9787391383967967,15.874491475935475,30.25089750878739,40.72053404818408,512,0.025
3,2.559708038965861,-17.816730268247454,-1.1963519907940003,14.98992457941566,28.460285164379027,512,0.0125
3,1.7096708218256633,10.814403859126985,40.696709085531694,73.11074014053366,99.39429556231771,512,0.00625
3,1.511559009552002,18.95357651762525,53.43921344341222,82.77203972657146,105.8972658723161,512,0.003125
3,1.5807191928227742,17.06584907866373,48.706304189624866,79.08016372306345,103.88474629564165,512,0.0015625
3,13.756810188293457,-1.386475939339182e-05,-1.386475939339182e-05,-1.386475939339182e-05,-0.00015944473302400593,1024,0.1
3,13.756810188293457,-0.0002564980487777487,-0.007043297771843045,-0.01732401686204308,-0.021469579920667232,1024,0.05
3,7.9180534680684405,-5.280954936543083,4.499789575997395,20.193021992796105,34.62742003912994,1024,0.025
3,3.3240331013997397,-38.439515731070344,-25.235303309786907,-10.763497054082325,1.1915120005692106,1024,0.0125
3,1.9580692052841187,-4.6002018206475,21.869060103284685,47.96554741948102,69.43337102884391,1024,0.00625
3,1.6553391218185425,14.995703223486174,43.85684104216977,69.73593026237738,89.95269404970809,1024,0.003125
3,1.5844767888387044,18.066933429207083,49.91397545067716,80.00910051555545,103.06930736770599,1024,0.0015625
4,13.756698608398438,-0.01882849597197743,-0.0772412010750267,-0.10799348683779986,-0.12043720932296167,16,0.1
4,13.755401611328125,-0.14931101728946147,-0.24529270949578136,-0.23005377858928822,-0.17946302389198135,16,0.05
