precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
3,1.749839226404826,2.6647059122721353,2.901482025782267,3.0983622471491494,3.24446964263916,32,0.0015625,lambda JR 0.0001
4,1.5366967519124348,2.5146354039510093,2.7968200047810874,3.038681983947754,3.2187480529149375,32,0.0015625,lambda JR 0.0001
5,1.3613904317220051,2.4673392375310264,2.8004198471705117,3.011771480242411,3.147772789001465,32,0.0015625,lambda JR 0.0001
6,1.2183458010355632,2.4259578386942544,2.783642808596293,2.997408310572306,3.133644382158915,32,0.0015625,lambda JR 0.0001
7,1.2621921300888062,2.703631321589152,3.1607260704040527,3.3820714950561523,3.497693339983622,32,0.0015625,lambda JR 0.0001
8,1.2569690545399983,2.644466241200765,3.0356046756108603,3.2265651623408,3.346392194430033,32,0.0015625,lambda JR 0.0001
9,1.320684512456258,2.6301599740982056,3.0466200510660806,3.3185981114705405,3.5092843770980835,32,0.0015625,lambda JR 0.0001
10,1.3453292846679688,2.5794619719187417,2.934416651725769,3.1052265961964927,3.204229950904846,32,0.0015625,lambda JR 0.0001
11,1.2341965039571126,2.608867645263672,3.032306989034017,3.251445929209391,3.390926718711853,32,0.0015625,lambda JR 0.0001
2,2.764318863550822,3.189598878224691,3.348785638809204,3.4925621350606284,3.5956751505533853,64,0.0015625,lambda JR 0.1
3,1.565295696258545,2.452290733655294,2.6501713196436563,2.821007013320923,2.9587891499201455,64,0.0015625,lambda JR 0.1
4,1.360262393951416,2.3407750129699707,2.5832645893096924,2.763240416844686,2.890638073285421,64,0.0015625,lambda JR 0.1
5,1.3806897401809692,2.3275657494862876,2.5945144494374595,2.7730199893315635,2.896931608517965,64,0.0015625,lambda JR 0.1
6,1.2785401741663616,2.232884248097738,2.504378080368042,2.6771153608957925,2.797756234804789,64,0.0015625,lambda JR 0.1
7,1.2774783372879028,2.261409799257914,2.5381999015808105,2.7320878505706787,2.8752367893854776,64,0.0015625,lambda JR 0.1
8,1.2433376709620159,2.2164227962493896,2.468871792157491,2.630181392033895,2.7562997738520303,64,0.0015625,lambda JR 0.1
9,1.288521647453308,2.233079512914022,2.494092027346293,2.666775345802307,2.7930475076039634,64,0.0015625,lambda JR 0.1
10,1.333865722020467,2.230587959289551,2.5100298325220742,2.693214257558187,2.8257721265157065,64,0.0015625,lambda JR 0.1
11,1.1836852232615154,2.180843989054362,2.464618682861328,2.6426904996236167,2.7671555280685425,64,0.0015625,lambda JR 0.1
2,2.830331563949585,3.2768988609313965,3.3866871198018393,3.484835704167684,3.56620192527771,64,0.0015625,lambda JR 0.01
3,1.6136775414148967,2.5216877460479736,2.7174397309621177,2.8917309443155923,3.027980407079061,64,0.0015625,lambda JR 0.01
4,1.4603185256322224,2.412726044654846,2.665770411491394,2.8476755619049072,2.978369355201721,64,0.0015625,lambda JR 0.01
5,1.2716680765151978,2.314326763153076,2.597076137860616,2.780217925707499,2.903976241747538,64,0.0015625,lambda JR 0.01
6,1.23301096757253,2.2735444704691568,2.55160383383433,2.7279856204986572,2.843907594680786,64,0.0015625,lambda JR 0.01
7,1.2532490889231365,2.2663060824076333,2.5398529767990112,2.7189100980758667,2.830895026524862,64,0.0015625,lambda JR 0.01
8,1.2219407558441162,2.264732042948405,2.568910797437032,2.753211776415507,2.8708160320917764,64,0.0015625,lambda JR 0.01
9,1.266208291053772,2.2924540440241494,2.5649913946787515,2.720398227373759,2.832529584566752,64,0.0015625,lambda JR 0.01
10,1.236236333847046,2.2863433361053467,2.5865937868754068,2.7582716941833496,2.871801733970642,64,0.0015625,lambda JR 0.01
11,1.2502111593882244,2.282823840777079,2.573237895965576,2.754850427309672,2.882554292678833,64,0.0015625,lambda JR 0.01
2,2.914175510406494,3.302755355834961,3.4466843605041504,3.5638109048207602,3.6722241242726645,64,0.0015625,lambda JR 0.001
3,1.5760921637217205,2.475017865498861,2.6928053299585977,2.8978817462921143,3.0502838691075644,64,0.0015625,lambda JR 0.001
4,1.3772361278533936,2.355343302090963,2.6103346745173135,2.7972639004389444,2.9224188725153604,64,0.0015625,lambda JR 0.001
5,1.218790849049886,2.289322813351949,2.5903533299764,2.77087132136027,2.8871159156163535,64,0.0015625,lambda JR 0.001
6,1.308795730272929,2.3368651072184243,2.611358165740967,2.782132943471273,2.883755644162496,64,0.0015625,lambda JR 0.001
7,1.197748343149821,2.414326469103495,2.7553822994232178,2.9446189403533936,3.050371527671814,64,0.0015625,lambda JR 0.001
8,1.2330458958943684,2.295755942662557,2.568410317103068,2.728550910949707,2.8317602475484214,64,0.0015625,lambda JR 0.001
9,1.2501891056696575,2.3244657119115195,2.606956680615743,2.784751772880554,2.89432426293691,64,0.0015625,lambda JR 0.001
10,1.155114968617757,2.2377450466156006,2.519106944402059,2.6971336205800376,2.811940590540568,64,0.0015625,lambda JR 0.001
11,1.2008001804351807,2.270947496096293,2.5517663955688477,2.725799878438314,2.8468199968338013,64,0.0015625,lambda JR 0.001
2,2.990884701410929,3.334242105484009,3.4569810231526694,3.5592978795369468,3.6442557175954184,64,0.0015625,lambda JR 0.0001
3,1.5537447929382324,2.4333176215489707,2.6584682861963906,2.8283974329630532,2.9600092569986978,64,0.0015625,lambda JR 0.0001
4,1.411466161410014,2.3889458576838174,2.649857680002848,2.830623666445414,2.957491397857666,64,0.0015625,lambda JR 0.0001
5,1.3226209878921509,2.411860624949137,2.7074273029963174,2.889472723007202,3.0054134925206504,64,0.0015625,lambda JR 0.0001
6,1.3148380517959595,2.433642029762268,2.7545923391977944,2.9373782873153687,3.044760743776957,64,0.0015625,lambda JR 0.0001
7,1.2703224420547485,2.557644526163737,2.8540728092193604,2.98680047194163,3.056461453437805,64,0.0015625,lambda JR 0.0001
8,1.2915549675623577,2.610675573348999,2.946024457613627,3.1094225645065308,3.2006782690684,64,0.0015625,lambda JR 0.0001
9,1.329115390777588,2.789827903111776,3.144704302151998,3.3322585026423135,3.4500571886698403,64,0.0015625,lambda JR 0.0001
10,1.1766222318013508,2.532671491305033,2.8199992179870605,2.9553153117497764,3.0288894176483154,64,0.0015625,lambda JR 0.0001
11,1.1745179891586304,2.403226613998413,2.7403871615727744,2.9396102825800576,3.066616177558899,64,0.0015625,lambda JR 0.0001
2,2.9664992491404214,3.189156929651896,3.344738006591797,3.4667596022288003,3.566418727238973,128,0.0015625,lambda JR 0.1
3,1.5660722653071086,2.363556901613871,2.5606677532196045,2.7313313484191895,2.8678825298945108,128,0.0015625,lambda JR 0.1
4,1.3817284901936848,2.2285850048065186,2.4380232095718384,2.604378620783488,2.7210364739100137,128,0.0015625,lambda JR 0.1
5,1.3822331428527832,2.181753079096476,2.4055354595184326,2.553601940472921,2.659473737080892,128,0.0015625,lambda JR 0.1
6,1.3028090000152588,2.2022679249445596,2.4389323393503823,2.5858601331710815,2.679450790087382,128,0.0015625,lambda JR 0.1
7,1.2733370860417683,2.1599481105804443,2.406634251276652,2.566476662953695,2.6755689779917398,128,0.0015625,lambda JR 0.1
8,1.2478562196095784,2.1167719761530557,2.376365065574646,2.553271174430847,2.673637787501017,128,0.0015625,lambda JR 0.1
9,1.2250560919443767,2.1020337343215942,2.3487892945607505,2.5023637612660727,2.611459573109945,128,0.0015625,lambda JR 0.1
