precision,net_efficiency,batch_size,learning_rate
5,0.4858064573817042,1024,0.003125
5,0.3730247664442345,1024,0.0015625
6,0.002616613083975125,16,0.1
6,0.00082527760615833,16,0.05
6,5.472478697932525e-05,16,0.025
6,0.5489293887878349,16,0.0125
6,0.5831940231421764,16,0.00625
6,0.6215345644403218,16,0.003125
6,0.5347023941852964,16,0.0015625
6,0.00012447439699701557,32,0.1
6,0.005309908492977582,32,0.05
6,0.14840688204117686,32,0.025
6,0.6080494299020439,32,0.0125
6,0.45999230284432496,32,0.00625
6,0.5191444431863034,32,0.003125
6,0.4126673378666568,32,0.0015625
6,0.00032869478943558025,64,0.1
6,0.003305370376395165,64,0.05
6,0.14823155799897644,64,0.025
6,0.4914578487963288,64,0.0125
6,0.5221606710292453,64,0.00625
6,0.5486938260620781,64,0.003125
6,0.4167678160467023,64,0.0015625
6,0.0002267249153136181,128,0.1
6,5.472478697932525e-05,128,0.05
6,0.2099503454249808,128,0.025
6,0.5013176388525036,128,0.0125
6,0.48501850313620043,128,0.00625
6,0.5304112100199586,128,0.003125
6,0.40317785381063537,128,0.0015625
6,5.472478697932525e-05,256,0.1
6,0.0007938871830011784,256,0.05
6,5.472478697932525e-05,256,0.025
6,0.5745033379559585,256,0.0125
6,0.4076763870276237,256,0.00625
6,0.4723289501933384,256,0.003125
6,0.37503030651643077,256,0.0015625
6,0.004008371758710943,512,0.1
6,0.20820561291841086,512,0.05
6,0.004126191232818445,512,0.025
6,0.4296001188518867,512,0.0125
6,0.3934259981320183,512,0.00625
6,0.45215276925844977,512,0.003125
6,0.3531261965232472,512,0.0015625
6,0.0006395178006704923,1024,0.1
6,5.472478697932525e-05,1024,0.05
6,0.0026458023500970386,1024,0.025
6,0.4424808855172417,1024,0.0125
6,0.4333050263034183,1024,0.00625
6,0.3367314613621788,1024,0.003125
6,0.43469670939524535,1024,0.0015625
7,0.175131481801403,16,0.1
7,0.023874672235117154,16,0.05
7,0.1821820792769196,16,0.025
7,0.4695519855735786,16,0.0125
7,0.5599047633880377,16,0.00625
7,0.5207147126413108,16,0.003125
7,0.4770941164769689,16,0.0015625
7,0.001139999080379845,32,0.1
7,0.060375221708684715,32,0.05
7,0.09640917820196092,32,0.025
7,0.5669791930604532,32,0.0125
7,0.48206556380154897,32,0.00625
7,0.4837286290203491,32,0.003125
7,0.40889987386384596,32,0.0015625
7,0.0002661074603462549,64,0.1
7,0.003136718875259913,64,0.05
7,0.24663384006650868,64,0.025
7,0.3999891944216043,64,0.0125
7,0.4379836504427168,64,0.00625
7,0.42231575406324473,64,0.003125
7,0.4547304602720826,64,0.0015625
7,5.472478697932525e-05,128,0.1
7,0.00014514157026931294,128,0.05
7,0.060267099556145086,128,0.025
7,0.6065348712146382,128,0.0125
7,0.4631670620906369,128,0.00625
7,0.42710525786851444,128,0.003125
7,0.42274989381829353,128,0.0015625
7,5.472478697932525e-05,256,0.1
7,0.0016262805425761265,256,0.05
7,0.07574868814297768,256,0.025
7,0.524611863038252,256,0.0125
7,0.4783494870741204,256,0.00625
7,0.3868950671474467,256,0.003125
7,0.3689144418531642,256,0.0015625
7,5.472478697932525e-05,512,0.1
7,5.472478697932525e-05,512,0.05
7,0.008989185948831142,512,0.025
7,0.45431553343463127,512,0.0125
7,0.43839738010702883,512,0.00625
7,0.4510743283500185,512,0.003125
7,0.3305672912733362,512,0.0015625
7,0.00039469323384609624,1024,0.1
7,0.0029557016364720476,1024,0.05
7,0.05488731403167409,1024,0.025
7,0.49807385922618325,1024,0.0125
7,0.4219712288843012,1024,0.00625
7,0.36151999711764093,1024,0.003125
7,0.3401134723494278,1024,0.0015625
8,5.472478697932525e-05,16,0.1
8,5.472478697932525e-05,16,0.05
8,0.16626449684949612,16,0.025
8,0.43373998210426595,16,0.0125
8,0.49095852296674536,16,0.00625
8,0.5394909430452154,16,0.003125
8,0.38214013481781833,16,0.0015625
8,5.472478697932525e-05,32,0.1
8,0.2800784572133047,32,0.05
8,0.11970316078090978,32,0.025
8,0.4900555706114576,32,0.0125
8,0.46316959301653615,32,0.00625
8,0.41670371190815353,32,0.003125
8,0.42247309419819723,32,0.0015625
8,0.06957813438807978,64,0.1
8,5.472478697932525e-05,64,0.05
8,0.18049503451053245,64,0.025
8,0.3813166109703248,64,0.0125
